NUM_ART;month_of_year;year_of_calendar;QTE_VTE
63931931;5;2019;15.0
63931931;6;2017;12.0
63931931;6;2018;13.0
63931931;6;2019;12.0
63931931;7;2016;7.0
63931931;7;2017;7.0
63931931;7;2018;12.0
63931931;7;2019;23.0
63931931;8;2016;7.0
63931931;8;2017;14.0
63931931;8;2018;9.0
63931931;8;2019;13.0
63931931;9;2016;10.0
63931931;9;2017;9.0
63931931;9;2018;11.0
63931931;9;2019;18.0
63931931;10;2016;10.0
63931931;10;2017;14.0
63931931;10;2018;15.0
63931931;10;2019;21.0
63931931;11;2016;15.0
63931931;11;2017;9.0
63931931;11;2018;15.0
63931931;11;2019;16.0
63931931;12;2016;9.0
63931931;12;2017;12.0
63931931;12;2018;18.0
63931931;12;2019;11.0
63932421;1;2017;17.0
63932421;2;2017;2.0
63932421;3;2017;1.0
63932421;3;2019;1.0
63932421;4;2017;2.0
63932421;5;2017;2.0
63932421;7;2016;24.0
63932421;7;2017;2.0
63932421;8;2016;9.0
63932421;9;2016;22.0
63932421;9;2017;-1.0
63932421;10;2016;21.0
63932421;11;2016;15.0
63932421;12;2016;6.0
64133391;1;2017;67.0
64133391;1;2018;163.0
64133391;1;2019;194.0
64133391;1;2020;26.0
64133391;2;2017;70.0
64133391;2;2018;144.0
64133391;2;2019;207.0
64133391;3;2017;62.0
64133391;3;2018;180.0
64133391;3;2019;241.0
64133391;4;2017;71.0
64133391;4;2018;181.0
64133391;4;2019;236.0
64133391;5;2017;86.0
64133391;5;2018;189.0
64133391;5;2019;227.0
64133391;6;2017;103.0
64133391;6;2018;192.0
64133391;6;2019;185.0
64133391;7;2016;111.0
64133391;7;2017;112.0
64133391;7;2018;165.0
64133391;7;2019;190.0
64133391;8;2016;106.0
64133391;8;2017;113.0
64133391;8;2018;214.0
64133391;8;2019;216.0
64133391;9;2016;113.0
64133391;9;2017;99.0
64133391;9;2018;175.0
64133391;9;2019;198.0
64133391;10;2016;127.0
64133391;10;2017;145.0
64133391;10;2018;213.0
64133391;10;2019;206.0
64133391;11;2016;149.0
64133391;11;2017;190.0
64133391;11;2018;202.0
64133391;11;2019;215.0
64133391;12;2016;143.0
64133391;12;2017;225.0
64133391;12;2018;310.0
64133391;12;2019;255.0
64133804;1;2017;10.0
64133804;1;2018;10.0
64133804;1;2019;16.0
64133804;2;2017;2.0
64133804;2;2018;14.0
64133804;2;2019;11.0
64133804;3;2017;5.0
64133804;3;2018;13.0
64133804;3;2019;18.0
64133804;4;2017;8.0
64133804;4;2018;11.0
64133804;4;2019;12.0
64133804;5;2017;6.0
