NUM_ART;week_of_year;year_of_calendar;QTE_VTE
60454590;29;2016;1.0
60454590;30;2016;1.0
60454590;30;2017;1.0
60454590;30;2018;0.0
60454590;30;2019;1.0
60454590;31;2016;0.0
60454590;31;2019;1.0
60454590;32;2018;1.0
60454590;35;2016;1.0
60454590;35;2019;2.0
60454590;36;2016;2.0
60454590;36;2017;1.0
60454590;36;2018;-1.0
60454590;36;2019;2.0
60454590;37;2016;1.0
60454590;37;2018;2.0
60454590;37;2019;1.0
60454590;38;2016;1.0
60454590;38;2018;2.0
60454590;39;2017;1.0
60454590;39;2018;2.0
60454590;39;2019;2.0
60454590;40;2018;1.0
60454590;41;2018;1.0
60454590;41;2019;3.0
60454590;42;2017;1.0
60454590;42;2018;1.0
60454590;43;2016;1.0
60454590;43;2017;1.0
60454590;43;2018;1.0
60454590;44;2017;1.0
60454590;44;2018;1.0
60454590;44;2019;1.0
60454590;45;2016;1.0
60454590;45;2019;2.0
60454590;46;2016;1.0
60454590;46;2017;1.0
60454590;46;2019;2.0
60454590;47;2018;1.0
60454590;48;2016;1.0
60454590;48;2017;1.0
60454590;49;2016;2.0
60454590;49;2017;4.0
60454590;49;2018;1.0
60454590;49;2019;1.0
60454590;50;2016;1.0
60454590;50;2017;-1.0
60454590;50;2019;1.0
60454590;51;2016;1.0
61117735;1;2018;2.0
61117735;1;2019;1.0
61117735;2;2018;1.0
61117735;3;2019;3.0
61117735;4;2017;1.0
61117735;4;2018;1.0
61117735;5;2018;1.0
61117735;5;2019;1.0
61117735;6;2019;1.0
61117735;7;2019;4.0
61117735;8;2017;1.0
61117735;8;2018;1.0
61117735;9;2019;0.0
61117735;11;2018;0.0
61117735;11;2019;1.0
61117735;12;2018;3.0
61117735;12;2019;4.0
61117735;13;2018;1.0
61117735;13;2019;2.0
61117735;14;2018;2.0
61117735;14;2019;-1.0
61117735;16;2017;1.0
61117735;16;2018;1.0
61117735;17;2017;1.0
61117735;17;2018;1.0
61117735;18;2018;2.0
61117735;18;2019;3.0
61117735;19;2018;0.0
61117735;19;2019;2.0
61117735;20;2017;1.0
61117735;21;2017;1.0
61117735;21;2018;1.0
61117735;23;2017;3.0
61117735;23;2019;2.0
61117735;24;2018;1.0
61117735;25;2019;1.0
61117735;26;2017;2.0
61117735;26;2018;2.0
61117735;27;2017;5.0
61117735;27;2018;1.0
61117735;27;2019;1.0
61117735;28;2018;1.0
61117735;28;2019;0.0
61117735;29;2017;2.0
61117735;29;2018;2.0
61117735;29;2019;1.0
61117735;30;2019;2.0
61117735;31;2018;1.0
61117735;31;2019;0.0
61117735;32;2017;1.0
61117735;32;2018;1.0
61117735;33;2017;1.0
61117735;33;2018;1.0
61117735;34;2017;2.0
61117735;34;2018;2.0
61117735;35;2016;1.0
61117735;35;2019;1.0
61117735;36;2017;2.0
61117735;36;2018;1.0
61117735;36;2019;1.0
61117735;37;2017;1.0
61117735;37;2018;1.0
61117735;38;2018;1.0
61117735;38;2019;1.0
61117735;39;2016;2.0
61117735;39;2017;1.0
61117735;40;2017;1.0
